ORDER	ARTIST	ALBUM	TRACK
31347	Capitol Steps	76 Bad Loans	15 - Sushi And The M.C.A.flac
31347	Capitol Steps	76 Bad Loans	16 - George's Kind And Gentle Land.flac
31347	Capitol Steps	76 Bad Loans	17 - Don't Know Much About Strategy.flac
31347	Capitol Steps	76 Bad Loans	18 - Tut Wiler, Tut Wiler.flac
31347	Capitol Steps	76 Bad Loans	19 - In The Nude.flac
31347	Capitol Steps	76 Bad Loans	20 - Tie A Yellow Ribbon 'Round My Oldsmobile.flac
31347	Capitol Steps	76 Bad Loans	21 - Embattled Him Of The Republicans.flac
31347	Capitol Steps	76 Bad Loans	22 - Three Eggs And Ham.flac
31347	Capitol Steps	76 Bad Loans	23 - Lirty Dies- Scicious Vandals.flac
31347	Capitol Steps	All I Want For Christmas Is A Tax Increase	01 - It's Time For Killing Barney.flac
31347	Capitol Steps	All I Want For Christmas Is A Tax Increase	02 - Dumber Boy.flac
31347	Capitol Steps	All I Want For Christmas Is A Tax Increase	03 - Let Perot.flac
31347	Capitol Steps	All I Want For Christmas Is A Tax Increase	04 - We Need A Little Chrotophe.flac
31347	Capitol Steps	All I Want For Christmas Is A Tax Increase	05 - Check My Calls From Wood Of Holly.flac
31347	Capitol Steps	All I Want For Christmas Is A Tax Increase	06 - All We Got For Christmas Is A Tax Increase.flac
31347	Capitol Steps	All I Want For Christmas Is A Tax Increase	07 - O Fax Machine.flac
